"negative", "achète les votes des électeurs en contrepartie d'une somme d'argent. Cet argent leur sera versé par le 1er adjoint au maire une fois que ceux-ci auront remis les bulletins de vote des autres partis."
"negatif", "Entretiens intempestifs entre les membres "
"negatifs", "Les personnes qui ne sont pas dans le proccesus en l'occurence les representants du ... entrent pemanemment dans les bureaux de vote pour causer avec les membres "
"negative", "Un électeur vote dans un autre bureau de vote autre que le sien."
"negative", "Composition incomplète du Bureau de vote. On ne retouve que le pdt du bureau de vote et un representant de l'administration."
"negative", "Les numéros qui apparaissent sur les listes ne sont pas les mêmes que celles apparaissent sur les cartes des électeurs"
"negative", "Intimidation des électeurs par le président du bureau de vote "
"negative", "il y a une urne scellée avec du carton,le couvercle donné n' est pas adapté.Et ladite urne a dormi au domicile de la présidente du bureau de vote. Non seulement qu'elle est arrivée tardivement"
"negative", "Irrégularité flagrante. fraude de la présidente"
"negative", "se fait accompagné des chefs de quartier et de certains membres pour régler un incident dans un bureau de vote"
"negative", "pour régler un incident dans un bureau de vote"
"negative", "différence de numéro entre la carte d'électeur et la liste des électeurs "
"negative", "Nous notons plusieurs irrégularités au bureau de vote de Domayo: - Doublure de l'isoloire - Forte présence des autorités traditionnelles dans certains bureaux de vote - Quasi-absence des lampes des lampes dans les bureaux de vote etc..."
"negative", "LA COUPURE ELECTRIQUE PENDANT LE DEPOUILLEMENT"
